A1 A2 A3 A4 A5 A6 A7 SR3 SR4 SR5 SR6 SR7 c0 c1 d0 d1 dx1 gamma1 log_A1 log_A2 log_A3 log_A4 log_A5 log_A6 log_A7 mu1 mu2 mu3 mu4 mu5 mu6 mu7 sigma1 sigma2 sigma3 sigma4 sigma5 sigma6 sigma7
3.287201508871067 0.7690811835740968 2.2856395324849075 3.3359276592820177 2.85763216883633 2.6057591930291943 1.4824190045547956 0.4505719776035531 0.8547910313443944 0.4302211111682242 0.6360738730095518 0.5956591797861689 1.642703026725166 -0.0014013491530278778 1.4152126814671713 -0.00040417581430446717 0.5971534797008137 28.089502112286567 1.1900365976010325 -0.26255874473122576 0.8266458681118098 1.2047507993938795 1.0499933689282288 0.9577240696092713 0.3936752160328447 589.1573264831356 589.1572611332186 589.1147079969926 589.1280630521255 588.9983076615451 589.0412007549046 589.0995547253127 11.650047330703732 38.65163906867003 1.4408500947935785 2.954720776864874 6.475495451982786 6.175423507408457 5.840373611330873
3.3179948094217475 0.7714229351600621 2.2813665074875322 3.2977116057075637 2.8533760769276393 2.6215466591810266 1.466978218466038 0.45033803862386096 0.8551907353265246 0.43117851032843996 0.6350084890202914 0.5956298699813275 1.6407514100065648 -0.0014029521325147688 1.414330614166634 -0.0004037300577553971 0.5971521195629345 27.88959450469773 1.1993606273974533 -0.2595185017857692 0.8247746088199024 1.193228775106928 1.0485028816049877 0.963764471529705 0.38320465137920445 589.1573325237581 589.1572583784484 589.1147105830211 589.1280664673485 588.9983151305801 589.0411915130003 589.0995559151766 11.588187034266983 38.67528316139322 1.4457149787903998 2.954662171829632 6.466235648450869 6.170228632167964 5.828364656819875
3.303605008062547 0.7694838299048123 2.281010964038987 3.3002721044496424 2.8542523691297292 2.628786913041491 1.471406581449013 0.44969561970004174 0.8538206552555061 0.4304293402508954 0.6349880582870978 0.5948837557404166 1.6413164673200829 -0.0014035218356660438 1.4148888184067965 -0.00040389335274357285 0.5971553390393798 27.97342603493879 1.1950142988942334 -0.26203533969292037 0.824618749971535 1.1940049209669652 1.0488099416097716 0.9665224899871553 0.3862188014223025 589.1573323861594 589.157259475574 589.1147059964873 589.1280721919021 588.9983126685989 589.0411898025565 589.0995587954042 11.581282594378694 38.6614158219869 1.4532886962882061 2.9550206864994135 6.464932763435862 6.160957014779588 5.820990289892141
3.3259198063834132 0.7718675728342927 2.2775667682121976 3.2758585466739154 2.8630709963842755 2.628140268834313 1.4704129767496146 0.4507951049842381 0.8581450316769343 0.4296546688969867 0.635904196697723 0.5938825953081451 1.64294376514062 -0.0014001204787519816 1.4156225275601555 -0.00040304795709599395 0.5971610065440297 27.86188222700083 1.2017462693505971 -0.25894228145106196 0.823107666171082 1.1865799863876314 1.0518948237073191 0.9662764739446774 0.3855432978997214 589.1573387843601 589.1572494594408 589.1147102684 589.1280671257375 588.998319506078 589.0411776877949 589.099559154618 11.594854411765553 38.67237354325302 1.4496181296910258 2.955047309736057 6.45503837831666 6.166827475923881 5.827341764205934
3.308139621202207 0.7690306530460397 2.2797061844552204 3.28540014870197 2.85555450568176 2.6317363365895656 1.465961086008274 0.4494052051576792 0.8556393691879374 0.42988656064822994 0.6365986322229985 0.5948900493010376 1.6418920424335486 -0.0014001672157120627 1.4142609247270959 -0.0004027008923642874 0.5971510026449202 27.90720965567314 1.196385983405636 -0.2626244493527913 0.8240465681953442 1.189488455386412 1.0492660469048032 0.9676438323773192 0.38251105877946096 589.15733517424 589.1572499633739 589.1147142496808 589.1280625721955 588.9983212506341 589.0411807311276 589.099558080127 11.602734994333916 38.6544355211377 1.4468370359559743 2.9546467945825423 6.449767628438685 6.165234034115498 5.818796333481352
3.3224154769774525 0.7708715879141899 2.2586302765216795 3.2710629026783775 2.880005506701654 2.6151726773381325 1.457020913217433 0.44999459855388296 0.8597859422906431 0.42904882560705754 0.6368986501527969 0.60187716963539 1.640279041909215 -0.001399528121002544 1.4142453704875977 -0.0003950265859208915 0.5971754976041282 27.75161806518678 1.2006920716962548 -0.2602334719307189 0.8147585572125745 1.1851149787835666 1.057792206195212 0.9613301287356807 0.3763938807253151 589.1573455487405 589.1572557010273 589.1147089686957 589.1280873313661 588.9983564461835 589.0411431417284 589.0995593496502 11.714419675302041 38.67072560579758 1.4685975505689335 2.956125547905152 6.429671086647714 6.161362061591062 5.794915704680941
3.2975404223440843 0.7700708336713481 2.2767611517200317 3.2846115333424972 2.9057179333779337 2.60372660241391 1.4578979371534668 0.45119519378319084 0.8589168874032451 0.4285660601935616 0.6380251823100755 0.6028710964500961 1.6399282241434245 -0.0014121046949484271 1.4144737382958297 -0.0003961276916006948 0.5971954647919573 27.884532771827118 1.1931768640161038 -0.2612727765844204 0.8227538855409949 1.189248390253677 1.0666804969057844 0.956943727441833 0.3769956291838607 589.1573375055624 589.1572554849005 589.1147029404215 589.1280909986724 588.9983547615464 589.0411480452692 589.099560962763 11.800560395262892 38.70562403888889 1.4826124902440165 2.957431427132245 6.442709577692117 6.168672653529839 5.796553457328357
3.3073350012200744 0.772568569988175 2.284416022108458 3.261723699640786 2.8956756355882165 2.5728675292053382 1.4293428491411095 0.4529165910336727 0.8590885739052265 0.4282265880115948 0.6403840417867335 0.6059380181384797 1.6437335414742762 -0.0014284175325695696 1.4143902903108945 -0.0003969858453086419 0.5971488619789226 27.846562258620157 1.1961427295101792 -0.2580345104107662 0.8261104214893058 1.1822557978648018 1.0632184639646847 0.9450210470170943 0.3572147925929989 589.1573301642376 589.157264865724 589.1147061633053 589.1280920020328 588.9983654722896 589.0411706412241 589.0995432953056 11.904567976195379 38.77942865019526 1.473809336203873 2.95737523959047 6.44798932222219 6.185591969676708 5.766054612058066
3.329750196217189 0.7760493778013418 2.2628093145281545 3.3060760916540013 2.875354279730528 2.5807184133613017 1.4192710616937267 0.45017425453317067 0.8572395801532107 0.42936227820059386 0.6393322024411972 0.6084744110047002 1.6412179257071298 -0.0014197644216225685 1.41560698731346 -0.000397409583709373 0.597101777056668 27.700145201688436 1.202897285027506 -0.25353912963600034 0.8166071008510952 1.1957620153632436 1.056175894389758 0.9480678149633882 0.35014340297530433 589.1573221081055 589.157262750961 589.1147098523694 589.1280936268528 588.9983449988089 589.0411752633875 589.0995445891338 11.964194148361281 38.79229705109052 1.4823324025853917 2.9576593125880906 6.432928140577204 6.194159251620351 5.750878595680629
3.289461521262021 0.7704063208806126 2.2725063079495476 3.3593682217039786 2.884010734683654 2.583561990525932 1.4261939583906469 0.450389443013552 0.8550291676891244 0.4291483191872919 0.6407430136573627 0.6105487407322054 1.6433009559251985 -0.0014215024321252228 1.4150740039953664 -0.0003992279839473574 0.5971330116704522 27.87678905446617 1.1907238800327338 -0.2608372138581871 0.8208833228410229 1.211752927040628 1.0591819415668344 0.9491690632418003 0.35500932844452326 589.1573253897245 589.1572704320566 589.1147102813019 589.1280962343577 588.9983523526498 589.0411857166032 589.099551822323 12.028954029687458 38.778474925867854 1.4860987794371217 2.957054815216587 6.4353442532534055 6.192953605127565 5.774582971024315
3.3254642281647744 0.7752052422853905 2.2248952702975924 3.3267319966889395 2.8969610906779364 2.5731673275286484 1.388734189131619 0.4506651334064334 0.8568826783697605 0.4281641761482635 0.6381749961071023 0.6154160342837236 1.6417959747222346 -0.0014068216240714746 1.4157618247578543 -0.0003962411458644863 0.5970445394712798 27.726694140226797 1.2016092818553676 -0.2546274559343924 0.7997098449812264 1.2019904397456826 1.0636622877953736 0.9451375632599864 0.3283926769431627 589.1573328052406 589.1572547268021 589.1147127687269 589.1280925356278 588.9983598600813 589.0411868943587 589.0995427725388 12.053746379024886 38.79413512771289 1.4793389181526027 2.9568753687079554 6.420737942262279 6.1982901982855125 5.745720317345578
3.2909103318956583 0.7701340551229124 2.230850124615942 3.3950939097183865 2.873859757212892 2.592114961955087 1.4133553751309558 0.44806157650451306 0.8495047487637589 0.4286020571564685 0.6381907220095344 0.6151557917883973 1.6384171647113477 -0.0014017118583346476 1.412506225519115 -0.00039631870042951815 0.5970518963057617 27.718493690735773 1.1911642231286494 -0.26119068172540544 0.8023827346263298 1.222331421811715 1.0556559893934587 0.9524741301126098 0.34596657606567166 589.1573254813156 589.1572563028892 589.1147168940311 589.128090878314 588.9983473765603 589.0412058125302 589.0995516649892 12.000397040385895 38.76960945617924 1.482334055081604 2.956254851940204 6.414026838502394 6.201897086531908 5.746289566388338
3.318177136658574 0.7734047237479459 2.2279002484922517 3.3391833904864945 2.8869601871716557 2.581700204711218 1.3870694706811066 0.4487786139699239 0.8543809395490622 0.4281982587210215 0.6375498272359175 0.6164838709121357 1.6420192491500956 -0.0014032581589904435 1.4169089268792336 -0.0003978105884488055 0.5970579176776509 27.76444826637111 1.1994155769190613 -0.2569527920593669 0.8010595492908721 1.205726283228792 1.060204110205265 0.9484481759663941 0.32719322708711085 589.1573334998213 589.157255746392 589.1147168305472 589.1280976720412 588.9983497704218 589.0411924296262 589.0995502632097 12.036952983472723 38.79686518597709 1.4843535782772066 2.95682190193841 6.415158275008577 6.202274478635971 5.724712027604325
3.3310854525029545 0.7745757453715003 2.2540760849799915 3.402069752492561 2.8819656559269147 2.5757653452631697 1.4326033477567106 0.4472509607469227 0.8479153705354526 0.42881033265754515 0.6406094763320612 0.6117695078984611 1.6421878310891116 -0.001402635810857335 1.4148962522776265 -0.00039909287009857097 0.5970883050219119 27.602765616997484 1.2032982125909741 -0.2554398248478364 0.8127401705846988 1.2243839971416566 1.0584725807564692 0.9461467114155763 0.35949331203529256 589.1573222942158 589.157258793438 589.1147158807854 589.128100038431 588.9983377253201 589.0412188490903 589.0995682650121 12.023290580069448 38.8261101453475 1.4852200403142766 2.956547455057582 6.425001786131771 6.197609130035945 5.750421867134808
